"No.","Time","Source","Destination","Protocol","Length","Info"
"71","9.775989","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.116? Tell 10.180.8.49"
"72","9.775989","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.85? Tell 10.180.8.49"
"73","9.777461","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.62? Tell 10.180.8.49"
"74","9.777461","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.12.1? Tell 0.0.0.0"
"75","9.777461","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.54? Tell 10.180.8.49"
"76","9.777461","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.235? Tell 10.180.8.49"
"77","9.777461","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.180? Tell 10.180.8.49"
"78","9.878237","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.71? Tell 10.180.8.49"
"79","9.878238","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.129? Tell 10.180.8.49"
"80","9.878238","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.9.57? Tell 10.180.8.49"
"81","9.878238","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.197? Tell 10.180.8.49"
"82","9.878238","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.9.42? Tell 10.180.8.49"
"83","9.878238","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.246? Tell 10.180.8.49"
"84","9.878239","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.27? Tell 10.180.8.49"
"85","9.878239","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.91? Tell 10.180.8.49"
"86","9.878239","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.5? Tell 10.180.8.49"
"87","9.878239","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.142? Tell 10.180.8.49"
"88","9.878240","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.199? Tell 10.180.8.49"
"89","9.878240","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.8.217? Tell 10.180.8.49"
"90","9.878763","0a:00:27:00:00:11","Broadcast","ARP","60","Who has 10.180.9.77? Tell 10.180.8.49"
"91","10.033268","10.180.8.50","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0002, seq=64296/10491, ttl=128 (reply in 92)"
"92","10.070283","8.8.8.8","10.180.8.50","ICMP","74","Echo (ping) reply    id=0x0002, seq=64296/10491, ttl=50 (request in 91)"
"93","10.593063","XiaomiCo_ee:10:70","Broadcast","ARP","60","Who has 10.180.8.214? Tell 10.180.8.9"
